Hoba,1920,60000000,-19.58333,17.91667,Found
Cape York,1818,58200000,76.13333,-64.93333,Found
Campo del Cielo,1576,50000000,-27.46667,-60.58333,Found
Canyon Diablo,1891,30000000,35.05,-111.03333,Found
Armanty,1898,28000000,47,88,Found
Gibeon,1836,26000000,-25.5,18,Found
Chupaderos,1852,24300000,27,-105.1,Found
Mundrabilla,1911,24000000,-30.78333,127.55,Found
Sikhote-Alin,1947,23000000,46.16,134.65333,Fell
Bacubirito,1863,22000000,26.2,-107.83333,Found
Mbosi,1930,16000000,-9.11667,33.06667,Found
Willamette,1902,15500000,45.36667,-122.58333,Found
Morito,1600,10100000,27.05,-105.43333,Found
Nantan,1958,9500000,25.1,107.7,Found
Cranbourne,1854,8600000,-38.1,145.3,Found
Santa Catharina,1875,7000000,-26.21667,-48.6,Found
Bendeg�_,1784,5360000,-10.11667,-39.2,Found
Brenham,1882,4300000,37.5825,-99.16361,Found
Jilin,1976,4000000,44.05,126.16667,Fell
Vaca Muerta,1861,3828000,-25.75,-70.5,Found
Toluca,1776,3000000,19.56667,-99.56667,Found
Xifu,2004,3000000,36.3,120.48333,Found
Al Haggounia 001,2006,3000000,27.5,-12.5,Found
Old Woman,1976,2753000,34.46667,-115.23333,Found
Wabar,1863,2550000,21.49972,50.47222,Found
Huckitta,1924,2300000,-22.36667,135.76667,Found
Navajo,1921,2184000,35.33333,-109.5,Found
Coahuila,1837,2100000,28.7,-102.73333,Found
Henbury,1931,2000000,-24.56667,133.16667,Found
Allende,1969,2000000,26.96667,-105.31667,Fell
Campinorte,1992,2000000,-14.258,-49.15917,Found
Santa Luzia,1921,1918000,-16.26667,-47.95,Found
Ghubara,1954,1750000,19.22778,56.14278,Found
Odessa (iron),1922,1600000,31.71667,-102.4,Found
Gebel Kamil,2009,1600000,22.01833,26.08778,Found
Casas Grandes,1867,1545000,30.4,-107.8,Found
Bitburg,1805,1500000,49.96667,6.53333,Found
Quinn Canyon,1908,1450000,38.08333,-115.53333,Found
Charcas,1804,1400000,23.08333,-101.01667,Found
Santa Apolonia,1872,1316000,19.21667,-98.3,Found
Tsarev,1968,1225300,48.7,45.7,Found
Alkhamasin,1973,1200000,20.6,44.88333,Found
Kouga Mountains,1903,1173000,-33.61667,24,Found
Goose Lake,1938,1169500,41.98,-120.54167,Found
Murnpeowie,1909,1143000,-29.58333,139.9,Found
Norton County,1948,1100000,39.68333,-99.86667,Fell
Kunya-Urgench,1998,1100000,42.25,59.2,Fell
Fukang,2000,1003000,44.43333,87.63333,Found
Bilibino,1981,1000000,67.3,160.8,Found
Los Sauces,1937,997000,-29.41667,-66.85,Found
Tucson,1850,975000,31.85,-110.96667,Found
Cosby's Creek,1837,960000,35.78333,-83.25,Found
Imilac,1822,920000,-24.20333,-68.80667,Found
Bondoc,1956,888600,13.51667,122.45,Found
Santa Rosa,1810,825000,5.91667,-73,Found
Brahin,1810,823000,52.5,30.33333,Found
Red River,1808,800000,32,-95,Found
Sardis,1940,800000,32.94889,-81.865,Found
Wolf Creek,1947,760000,-19.3,127.76667,Found
Esquel,1951,755000,-42.9,-71.33333,Found
Gladstone (iron),1915,736600,-23.9,151.3,Found
Mount Dooling,1909,734000,-29.45,119.71667,Found
Krasnojarsk,1749,700000,54.9,91.8,Found
Plainview (1917),1917,700000,34.11667,-101.78333,Found
Ngiangri,1983,700000,32.2,87.8,Found
Davis Mountains,1903,689000,30.75,-104.25,Found
Arispe,1896,683000,30.33333,-109.98333,Found
Itapuranga,,628000,-15.58333,-50.15,Found
La Caille,1828,626000,43.73333,6.78333,Found
Jianshi,1890,600000,30.80833,109.5,Fell
Adzhi-Bogdo (iron),1952,582000,44.86667,95.41667,Found
Long Island,1891,564000,39.93333,-99.6,Found
JaH 073,2002,550000,19.7,55.73333,Found
Rateldraai,1909,549000,-28.83333,21.13333,Found
Drum Mountains,1944,529000,39.5,-112.9,Found
Grant,1929,525000,35.16667,-107.88333,Found
Tamentit,1864,510000,27.71667,-0.25,Found
Trenton,1858,505000,43.36667,-88.13333,Found
Haig,1951,503000,-31.38333,125.63333,Found
Prambanan,1797,500000,-7.56667,110.83333,Found
Knyahinya,1866,500000,48.9,22.4,Fell
Ochansk,1887,500000,57.78333,55.26667,Fell
Boxhole,1937,500000,-22.61667,135.2,Found
El Timbu,1942,500000,-33.11667,-60.96667,Found
Wildara,1968,500000,-28.23333,120.85,Found
Jepara,2008,499500,-6.6,110.73333,Found
Saint-Aubin,1968,472000,48.48333,3.58333,Found
Carbo,1923,454000,29.66667,-111.5,Found
Etter,1965,450000,35.98333,-101.9,Found
SaU 001,2000,450000,20.51667,56.66667,Found
Wallapai,1927,430000,35.8,-113.7,Found
Ulasitai,2004,430000,44.95667,91.4025,Found
Paragould,1930,408000,36.06667,-90.5,Fell
ALHA76009,1976,407000,-76.71667,159.66667,Found
Augustinovka,1890,400000,48.06667,35.08333,Found
Pei Xian,1917,400000,34.7,117,Found
Mount Joy,1887,384000,39.78333,-77.21667,Found
Mont Dieu,1994,360000,49.55,4.86667,Found
Hugoton,1927,350000,37.2,-101.35,Found
Longtian,1991,350000,27.35,108.5,Found
Kokstad,1884,341000,-30.55,29.41667,Found
Bjurb̦le,1899,330000,60.4,25.8,Fell
Millbillillie,1960,330000,-26.45,120.36667,Fell
Mount Edith,1913,326000,-22.5,116.16667,Found
Sterlitamak,1990,325000,53.66667,55.98333,Fell
Seymchan,1967,323300,62.9,152.43333,Found
Estherville,1879,320000,43.41667,-94.83333,Fell
Tamarugal,1903,320000,-20.8,-69.66667,Found
Guffey,1907,309000,38.76667,-105.51667,Found
Nova Petropolis,1967,305000,-29.43333,-50.91667,Found
Gressk,1955,303000,53.23333,27.33333,Found
Bruderheim,1960,303000,53.9,-112.88333,Fell
North Chile,1875,300000,-23,-69,Found
Mocs,1882,300000,46.8,24.03333,Fell
Putinga,1937,300000,-29.03333,-53.05,Fell
Tianlin,1956,300000,24.3,106.1,Found
Morland,1890,295000,39.33333,-100.06667,Found
Estacado,1883,290000,33.9,-101.75,Found
Morasko,1914,290000,52.46667,16.9,Found
Bur-Abor,1997,290000,3.98333,41.65,Found
Clovis (no. 1),1961,283000,34.3,-103.13472,Found
Rio Limay,1995,280000,-39.85,-69.48333,Found
Sanclerlandia,1971,279000,-16.21667,-50.3,Found
South Dahna,1957,275000,22.56667,48.3,Found
Mount Padbury,1964,272000,-25.66667,118.1,Found
Saint-S̩verin,1966,271000,45.3,0.23333,Fell
Lake Murray,1933,270000,34.1,-97,Found
Miles,1992,265000,-27.83333,150.33333,Found
Potter,1941,261000,41.23333,-103.3,Found
Tishomingo,1965,260000,34.25,-96.68333,Found
Suizhou,1986,260000,31.61667,113.46667,Fell
Dalgety Downs,1941,257000,-25.33333,116.18333,Found
Boguslavka,1916,256000,44.55,131.63333,Fell
Dho 020,2000,256000,19.03333,54.51667,Found
Uegit,1921,252000,3.81667,43.33333,Found
Netscha��vo,1846,250000,54.23333,35.15,Found
Pultusk,1868,250000,52.76667,21.26667,Fell
Omolon,1981,250000,64.02,161.80833,Fell
Shangdu,1957,247000,42.5,114,Found
St. Genevieve County,1888,244500,37.96667,-90.31667,Found
El Hammami,1997,240000,23.28333,-10.81667,Found
